Sentença,Intenção,Normalização,Tokenização,Remoção_Stopwords,Lematização,GloVe,Word2Vec_CBOW,Word2Vec_Skip,FastText_CBOW,FastText_Skip,Votos,Eleito,Intenção_correspondente
queria saber sobre os preço dos produtos,precos,queria saber sobre os preço dos produtos,"['queria', 'saber', 'sobre', 'os', 'preço', 'dos', 'produtos']","['queria', 'saber', 'sobre', 'preço', 'produtos']","['querer', 'saber', 'sobrar', 'preço', 'produto']",102.0,102.0,102.0,102.0,102.0,5,102.0,precos
qual é a porcentagem de parcelas produzindo de forma orgânica?,producao_organica,qual é a porcentagem de parcelas produzindo de forma orgânica?,"['qual', 'é', 'a', 'porcentagem', 'de', 'parcelas', 'produzindo', 'de', 'forma', 'orgânica']","['porcentagem', 'parcelas', 'produzindo', 'forma', 'orgânica']","['porcentagem', 'parcelar', 'produzir', 'formar', 'orgânico']",132.0,132.0,132.0,138.0,132.0,4,132.0,producao_organica
conselho para crescer minha produção,aumento_producao,conselho para crescer minha produção,"['conselho', 'para', 'crescer', 'minha', 'produção']","['conselho', 'crescer', 'produção']","['conselho', 'crescer', 'produção']",50.0,50.0,50.0,50.0,50.0,5,50.0,aumento_producao
como estão os preços no mercado?,precos,como estão os preços no mercado?,"['como', 'estão', 'os', 'preços', 'no', 'mercado']","['preços', 'mercado']","['preço', 'mercar']",99.0,99.0,99.0,99.0,99.0,5,99.0,precos
como estão os índices de poluição na cidade?,poluicao,como estão os índices de poluição na cidade?,"['como', 'estão', 'os', 'índices', 'de', 'poluição', 'na', 'cidade']","['índices', 'poluição', 'cidade']","['índice', 'poluição', 'cidade']",89.0,89.0,89.0,89.0,89.0,5,89.0,poluicao
conselho sobre qual tratamento ambiental fazer,tratamento_ambiental,conselho sobre qual tratamento ambiental fazer,"['conselho', 'sobre', 'qual', 'tratamento', 'ambiental', 'fazer']","['conselho', 'sobre', 'tratamento', 'ambiental', 'fazer']","['conselho', 'sobrar', 'tratamento', 'ambiental', 'fazer']",158.0,158.0,158.0,158.0,158.0,5,158.0,tratamento_ambiental
"não, valeu",encerramento_nao,"não, valeu","['não', 'valeu']",['valeu'],['valer'],58.0,58.0,58.0,58.0,58.0,5,58.0,diminuicao_poluicao
qual é a média de produtividade dos produtores da minha cidade?,produtividade,qual é a média de produtividade dos produtores da minha cidade?,"['qual', 'é', 'a', 'média', 'de', 'produtividade', 'dos', 'produtores', 'da', 'minha', 'cidade']","['média', 'produtividade', 'produtores', 'cidade']","['médio', 'produtividade', 'produtor', 'cidade']",145.0,145.0,145.0,145.0,145.0,5,145.0,produtividade
quantos os produtores estão produzindo,produtividade,quantos os produtores estão produzindo,"['quantos', 'os', 'produtores', 'estão', 'produzindo']","['quantos', 'produtores', 'produzindo']","['quanto', 'produtor', 'produzir']",85.0,130.0,44.0,130.0,130.0,3,130.0,producao_organica
ajuda na tomada de decisão para aumentar minha produção,aumento_producao,ajuda na tomada de decisão para aumentar minha produção,"['ajuda', 'na', 'tomada', 'de', 'decisão', 'para', 'aumentar', 'minha', 'produção']","['ajuda', 'tomada', 'decisão', 'aumentar', 'produção']","['ajudar', 'tomar', 'decisão', 'aumentar', 'produção']",47.0,47.0,47.0,47.0,47.0,5,47.0,aumento_producao
